BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;5164;-1;<p:>;;;;;;;;;;
5165;8819;0;z;;Sonne;z O n @;;;;;;;
13985;6173;0;O;;Sonne;z O n @;;;;;;;
20159;3968;0;n;;Sonne;z O n @;;;;;;;
24128;16316;0;@;;Sonne;z O n @;;;;;;;
40445;24254;-1;<p:>;;;;;;;;;;
64700;6614;1;z;;Säure;z OY r @;;;;;;;
71315;7496;1;OY;;Säure;z OY r @;;;;;;;
78812;1322;1;r;;Säure;z OY r @;;;;;;;
80135;16316;1;@;;Säure;z OY r @;;;;;;;
96452;18080;-1;<p:>;;;;;;;;;;
114533;5732;2;z;;Seele;z e: l @;;;;;;;
120266;10583;2;e:;;Seele;z e: l @;;;;;;;
130850;3527;2;l;;Seele;z e: l @;;;;;;;
134378;12347;2;@;;Seele;z e: l @;;;;;;;
146726;26018;-1;<p:>;;;;;;;;;;
172745;7937;3;z;;Säule;z OY l @;;;;;;;
180683;7937;3;OY;;Säule;z OY l @;;;;;;;
188621;7937;3;l;;Säule;z OY l @;;;;;;;
196559;8378;3;@;;Säule;z OY l @;;;;;;;
204938;27782;-1;<p:>;;;;;;;;;;
232721;6173;4;z;;Salz;z a l ts;;;;;;;
238895;6173;4;a;;Salz;z a l ts;;;;;;;
245069;9260;4;l;;Salz;z a l ts;;;;;;;
254330;10142;4;ts;;Salz;z a l ts;;;;;;;
264473;25577;-1;<p:>;;;;;;;;;;
290051;6614;5;z;;Samen;z a: m @ n;;;;;;;
296666;10142;5;a:;;Samen;z a: m @ n;;;;;;;
306809;2645;5;m;;Samen;z a: m @ n;;;;;;;
309455;4409;5;@;;Samen;z a: m @ n;;;;;;;
313865;7055;5;n;;Samen;z a: m @ n;;;;;;;
320921;26018;-1;<p:>;;;;;;;;;;
346940;7055;6;z;;Singen;z I N @ n;;;;;;;
353996;4409;6;I;;Singen;z I N @ n;;;;;;;
358406;3968;6;N;;Singen;z I N @ n;;;;;;;
362375;5291;6;@;;Singen;z I N @ n;;;;;;;
367667;14111;6;n;;Singen;z I N @ n;;;;;;;
381779;18521;-1;<p:>;;;;;;;;;;
400301;8378;7;s;;Sicht;z I C t;;;;;;;
408680;9260;7;I;;Sicht;z I C t;;;;;;;
417941;5732;7;C;;Sicht;z I C t;;;;;;;
423674;5732;7;t;;Sicht;z I C t;;;;;;;
429407;29987;-1;<p:>;;;;;;;;;;
459395;7496;8;s;;Sicher;z I C 6;;;;;;;
466892;4409;8;I;;Sicher;z I C 6;;;;;;;
471302;5291;8;C;;Sicher;z I C 6;;;;;;;
476594;11024;8;6;;Sicher;z I C 6;;;;;;;
487619;33074;-1;<p:>;;;;;;;;;;
520694;6614;9;z;;Sammlung;z a m l U N;;;;;;;
