BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;4409;-1;<p:>;;;;;;;;;;
4410;1636;0;z;;Sonne;z O n @;;;;;;;
6047;7937;0;O;;Sonne;z O n @;;;;;;;
13985;4850;0;n;;Sonne;z O n @;;;;;;;
18836;12347;0;@;;Sonne;z O n @;;;;;;;
31184;18962;-1;<p:>;;;;;;;;;;
50147;1322;1;z;;Säure;z OY r @;;;;;;;
51470;8819;1;OY;;Säure;z OY r @;;;;;;;
60290;1322;1;r;;Säure;z OY r @;;;;;;;
61613;19403;1;@;;Säure;z OY r @;;;;;;;
81017;15875;-1;<p:>;;;;;;;;;;
96893;1322;2;z;;Seele;z e: l @;;;;;;;
98216;11906;2;e:;;Seele;z e: l @;;;;;;;
110123;4409;2;l;;Seele;z e: l @;;;;;;;
114533;9260;2;@;;Seele;z e: l @;;;;;;;
123794;22490;-1;<p:>;;;;;;;;;;
146285;1322;3;z;;Säule;z OY l @;;;;;;;
147608;8819;3;OY;;Säule;z OY l @;;;;;;;
156428;7937;3;l;;Säule;z OY l @;;;;;;;
164366;8378;3;@;;Säule;z OY l @;;;;;;;
172745;27782;-1;<p:>;;;;;;;;;;
200528;1322;4;z;;Salz;z a l ts;;;;;;;
201851;6614;4;a;;Salz;z a l ts;;;;;;;
208466;12347;4;l;;Salz;z a l ts;;;;;;;
220814;3086;4;ts;;Salz;z a l ts;;;;;;;
223901;51155;-1;<p:>;;;;;;;;;;
275057;1322;5;z;;Samen;z a: m @ n;;;;;;;
276380;11465;5;a:;;Samen;z a: m @ n;;;;;;;
287846;3527;5;m;;Samen;z a: m @ n;;;;;;;
291374;3527;5;@;;Samen;z a: m @ n;;;;;;;
294902;14111;5;n;;Samen;z a: m @ n;;;;;;;
309014;4850;-1;<p:>;;;;;;;;;;
313865;8378;6;s;;Singen;z I N @ n;;;;;;;
322244;6173;6;I;;Singen;z I N @ n;;;;;;;
328418;18962;6;N;;Singen;z I N @ n;;;;;;;
347381;3968;6;N;;Singen;z I N @ n;;;;;;;
351350;9701;-1;<p:>;;;;;;;;;;
361052;1322;7;z;;Sicht;z I C t;;;;;;;
362375;11465;7;I;;Sicht;z I C t;;;;;;;
373841;3086;7;C;;Sicht;z I C t;;;;;;;
376928;24254;-1;<p:>;;;;;;;;;;
401183;1322;8;z;;Sicher;z I C 6;;;;;;;
402506;9701;8;I;;Sicher;z I C 6;;;;;;;
412208;1763;8;C;;Sicher;z I C 6;;;;;;;
413972;11465;8;6;;Sicher;z I C 6;;;;;;;
425438;23813;-1;<p:>;;;;;;;;;;
449252;1322;9;z;;Sammlung;z a m l U N;;;;;;;
450575;6614;9;a;;Sammlung;z a m l U N;;;;;;;
