BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;7810;-1;<p:>;;;;;;;;;;
7811;8819;0;z;;Sonne;z O n @;;;;;;;
16631;6614;0;O;;Sonne;z O n @;;;;;;;
23246;2645;0;n;;Sonne;z O n @;;;;;;;
25892;9260;0;@;;Sonne;z O n @;;;;;;;
35153;67472;-1;<p:>;;;;;;;;;;
102626;5291;1;z;;Säure;z OY r @;;;;;;;
107918;9701;1;OY;;Säure;z OY r @;;;;;;;
117620;1322;1;r;;Säure;z OY r @;;;;;;;
118943;16757;1;@;;Säure;z OY r @;;;;;;;
135701;37925;-1;<p:>;;;;;;;;;;
173627;7937;2;z;;Seele;z e: l @;;;;;;;
181565;10142;2;e:;;Seele;z e: l @;;;;;;;
191708;2645;2;l;;Seele;z e: l @;;;;;;;
194354;7055;2;@;;Seele;z e: l @;;;;;;;
201410;42776;-1;<p:>;;;;;;;;;;
244187;6614;3;z;;Säule;z OY l @;;;;;;;
250802;10583;3;OY;;Säule;z OY l @;;;;;;;
261386;6173;3;l;;Säule;z OY l @;;;;;;;
267560;7496;3;@;;Säule;z OY l @;;;;;;;
275057;40130;-1;<p:>;;;;;;;;;;
315188;5732;4;s;;Salz;z a l ts;;;;;;;
320921;5291;4;a;;Salz;z a l ts;;;;;;;
326213;10142;4;l;;Salz;z a l ts;;;;;;;
336356;9260;4;ts;;Salz;z a l ts;;;;;;;
345617;33956;-1;<p:>;;;;;;;;;;
379574;7496;5;s;;Samen;z a: m @ n;;;;;;;
387071;10142;5;a:;;Samen;z a: m @ n;;;;;;;
397214;4409;5;m;;Samen;z a: m @ n;;;;;;;
401624;2645;5;@;;Samen;z a: m @ n;;;;;;;
404270;6614;5;n;;Samen;z a: m @ n;;;;;;;
410885;33515;-1;<p:>;;;;;;;;;;
444401;6614;6;z;;Singen;z I N @ n;;;;;;;
451016;4850;6;I;;Singen;z I N @ n;;;;;;;
455867;2645;6;N;;Singen;z I N @ n;;;;;;;
458513;5291;6;@;;Singen;z I N @ n;;;;;;;
463805;6614;6;n;;Singen;z I N @ n;;;;;;;
470420;39689;-1;<p:>;;;;;;;;;;
510110;5732;7;s;;Sicht;z I C t;;;;;;;
515843;4409;7;I;;Sicht;z I C t;;;;;;;
520253;8378;7;C;;Sicht;z I C t;;;;;;;
528632;3968;7;t;;Sicht;z I C t;;;;;;;
532601;29987;-1;<p:>;;;;;;;;;;
562589;10142;8;s;;Sicher;z I C 6;;;;;;;
572732;3527;8;I;;Sicher;z I C 6;;;;;;;
576260;4409;8;C;;Sicher;z I C 6;;;;;;;
580670;9701;8;6;;Sicher;z I C 6;;;;;;;
590372;31751;-1;<p:>;;;;;;;;;;
622124;7496;9;z;;Sammlung;z a m l U N;;;;;;;
629621;6173;9;a;;Sammlung;z a m l U N;;;;;;;
635795;4850;9;m;;Sammlung;z a m l U N;;;;;;;
640646;3086;9;l;;Sammlung;z a m l U N;;;;;;;
643733;3086;9;U;;Sammlung;z a m l U N;;;;;;;
646820;5732;9;N;;Sammlung;z a m l U N;;;;;;;
652553;49832;-1;<p:>;;;;;;;;;;
702386;5291;10;z;;Sekunde;z e k U n d @;;;;;;;
707678;6614;10;e;;Sekunde;z e k U n d @;;;;;;;
714293;5732;10;k;;Sekunde;z e k U n d @;;;;;;;
720026;4409;10;U;;Sekunde;z e k U n d @;;;;;;;
724436;4850;10;n;;Sekunde;z e k U n d @;;;;;;;
729287;2645;10;d;;Sekunde;z e k U n d @;;;;;;;
731933;4850;10;@;;Sekunde;z e k U n d @;;;;;;;
736784;71000;-1;<p:>;;;;;;;;;;
807785;1322;11;?;;Essen;? E s @ n;;;;;;;
809108;4850;11;E;;Essen;? E s @ n;;;;;;;
813959;6614;11;s;;Essen;? E s @ n;;;;;;;
820574;6173;11;@;;Essen;? E s @ n;;;;;;;
826748;1322;11;n;;Essen;? E s @ n;;;;;;;
828071;26018;-1;<p:>;;;;;;;;;;
854090;1322;12;l;;Lesen;l e: z @ n;;;;;;;
855413;8819;12;e:;;Lesen;l e: z @ n;;;;;;;
864233;7055;12;z;;Lesen;l e: z @ n;;;;;;;
871289;7055;12;@;;Lesen;l e: z @ n;;;;;;;
878345;1322;12;n;;Lesen;l e: z @ n;;;;;;;
879668;30869;-1;<p:>;;;;;;;;;;
910538;1322;13;r;;Rasen;r a: z @ n;;;;;;;
