BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;13102;-1;<p:>;;;;;;;;;;
13103;2645;0;z;;Sonne;z O n @;;;;;;;
15749;5732;0;O;;Sonne;z O n @;;;;;;;
21482;2645;0;n;;Sonne;z O n @;;;;;;;
24128;14552;0;@;;Sonne;z O n @;;;;;;;
38681;24254;-1;<p:>;;;;;;;;;;
62936;1322;1;z;;Säure;z OY r @;;;;;;;
64259;10142;1;OY;;Säure;z OY r @;;;;;;;
74402;4850;1;r;;Säure;z OY r @;;;;;;;
79253;12347;1;@;;Säure;z OY r @;;;;;;;
91601;21608;-1;<p:>;;;;;;;;;;
113210;2204;2;z;;Seele;z e: l @;;;;;;;
115415;10142;2;e:;;Seele;z e: l @;;;;;;;
125558;3527;2;l;;Seele;z e: l @;;;;;;;
129086;10583;2;@;;Seele;z e: l @;;;;;;;
139670;28223;-1;<p:>;;;;;;;;;;
167894;1763;3;z;;Säule;z OY l @;;;;;;;
169658;7496;3;OY;;Säule;z OY l @;;;;;;;
177155;5291;3;l;;Säule;z OY l @;;;;;;;
182447;11906;3;@;;Säule;z OY l @;;;;;;;
194354;23813;-1;<p:>;;;;;;;;;;
218168;1322;4;z;;Salz;z a l ts;;;;;;;
219491;5291;4;a;;Salz;z a l ts;;;;;;;
224783;7055;4;l;;Salz;z a l ts;;;;;;;
231839;10142;4;ts;;Salz;z a l ts;;;;;;;
241982;34397;-1;<p:>;;;;;;;;;;
276380;1322;5;z;;Samen;z a: m @ n;;;;;;;
277703;8819;5;a:;;Samen;z a: m @ n;;;;;;;
286523;3527;5;m;;Samen;z a: m @ n;;;;;;;
290051;8378;5;@;;Samen;z a: m @ n;;;;;;;
298430;6614;5;n;;Samen;z a: m @ n;;;;;;;
305045;29987;-1;<p:>;;;;;;;;;;
335033;1322;6;z;;Singen;z I N @ n;;;;;;;
336356;2645;6;I;;Singen;z I N @ n;;;;;;;
339002;4850;6;N;;Singen;z I N @ n;;;;;;;
343853;5291;6;@;;Singen;z I N @ n;;;;;;;
349145;11906;6;n;;Singen;z I N @ n;;;;;;;
361052;30428;-1;<p:>;;;;;;;;;;
391481;1322;7;z;;Sicht;z I C t;;;;;;;
392804;3086;7;I;;Sicht;z I C t;;;;;;;
395891;3086;7;C;;Sicht;z I C t;;;;;;;
398978;9260;7;t;;Sicht;z I C t;;;;;;;
408239;33074;-1;<p:>;;;;;;;;;;
441314;1322;8;z;;Sicher;z I C 6;;;;;;;
442637;3527;8;I;;Sicher;z I C 6;;;;;;;
446165;6614;8;C;;Sicher;z I C 6;;;;;;;
452780;9260;8;6;;Sicher;z I C 6;;;;;;;
462041;31751;-1;<p:>;;;;;;;;;;
493793;1322;9;z;;Sammlung;z a m l U N;;;;;;;
495116;4409;9;a;;Sammlung;z a m l U N;;;;;;;
499526;1763;9;m;;Sammlung;z a m l U N;;;;;;;
501290;5732;9;l;;Sammlung;z a m l U N;;;;;;;
507023;5291;9;U;;Sammlung;z a m l U N;;;;;;;
512315;8819;9;N;;Sammlung;z a m l U N;;;;;;;
521135;25136;-1;<p:>;;;;;;;;;;
546272;1322;10;z;;Sekunde;z e k U n d @;;;;;;;
547595;5732;10;e;;Sekunde;z e k U n d @;;;;;;;
553328;3527;10;k;;Sekunde;z e k U n d @;;;;;;;
556856;3086;10;U;;Sekunde;z e k U n d @;;;;;;;
559943;5732;10;n;;Sekunde;z e k U n d @;;;;;;;
565676;1763;10;d;;Sekunde;z e k U n d @;;;;;;;
567440;5732;10;@;;Sekunde;z e k U n d @;;;;;;;
573173;57329;-1;<p:>;;;;;;;;;;
630503;2204;11;?;;Essen;? E s @ n;;;;;;;
632708;5291;11;E;;Essen;? E s @ n;;;;;;;
638000;5291;11;s;;Essen;? E s @ n;;;;;;;
643292;14111;11;n;;Essen;? E s @ n;;;;;;;
657404;22490;-1;<p:>;;;;;;;;;;
679895;3527;12;l;;Lesen;l e: z @ n;;;;;;;
683423;9701;12;e:;;Lesen;l e: z @ n;;;;;;;
693125;2645;12;z;;Lesen;l e: z @ n;;;;;;;
695771;8819;12;@;;Lesen;l e: z @ n;;;;;;;
704591;3968;12;n;;Lesen;l e: z @ n;;;;;;;
708560;26900;-1;<p:>;;;;;;;;;;
735461;2204;13;r;;Rasen;r a: z @ n;;;;;;;
737666;11465;13;a:;;Rasen;r a: z @ n;;;;;;;
749132;1322;13;z;;Rasen;r a: z @ n;;;;;;;
750455;2645;13;@;;Rasen;r a: z @ n;;;;;;;
753101;9701;13;n;;Rasen;r a: z @ n;;;;;;;
762803;30428;-1;<p:>;;;;;;;;;;
793232;3086;14;r;;Rosen;r o: z @ n;;;;;;;
796319;9701;14;o:;;Rosen;r o: z @ n;;;;;;;
806021;1763;14;z;;Rosen;r o: z @ n;;;;;;;
807785;1763;14;@;;Rosen;r o: z @ n;;;;;;;
809549;9260;14;n;;Rosen;r o: z @ n;;;;;;;
818810;31310;-1;<p:>;;;;;;;;;;
850121;2645;15;v;;Wissen;v I s @ n;;;;;;;
852767;4409;15;I;;Wissen;v I s @ n;;;;;;;
857177;1322;15;s;;Wissen;v I s @ n;;;;;;;
858500;3527;15;@;;Wissen;v I s @ n;;;;;;;
862028;13670;15;n;;Wissen;v I s @ n;;;;;;;
875699;32633;-1;<p:>;;;;;;;;;;
908333;1322;16;f;;Fressen;f r E s @ n;;;;;;;
909656;2645;16;r;;Fressen;f r E s @ n;;;;;;;
912302;5732;16;E;;Fressen;f r E s @ n;;;;;;;
918035;3527;16;s;;Fressen;f r E s @ n;;;;;;;
921563;11024;16;n;;Fressen;f r E s @ n;;;;;;;
932588;32633;-1;<p:>;;;;;;;;;;
965222;3086;17;S;;Schießen;S i: s @ n;;;;;;;
968309;13670;17;i:;;Schießen;S i: s @ n;;;;;;;
981980;2645;17;s;;Schießen;S i: s @ n;;;;;;;
984626;11465;17;n;;Schießen;S i: s @ n;;;;;;;
996092;33074;-1;<p:>;;;;;;;;;;
1029167;2204;18;f;;Fließen;f l i: s @ n;;;;;;;
1031372;2204;18;l;;Fließen;f l i: s @ n;;;;;;;
1033577;10142;18;i:;;Fließen;f l i: s @ n;;;;;;;
1043720;3968;18;s;;Fließen;f l i: s @ n;;;;;;;
1047689;3527;18;@;;Fließen;f l i: s @ n;;;;;;;
1051217;7055;18;n;;Fließen;f l i: s @ n;;;;;;;
1058273;25577;-1;<p:>;;;;;;;;;;
1083851;4409;19;r;;Reisen;r aI z @ n;;;;;;;
1088261;10142;19;aI;;Reisen;r aI z @ n;;;;;;;
1098404;3086;19;z;;Reisen;r aI z @ n;;;;;;;
1101491;5732;19;@;;Reisen;r aI z @ n;;;;;;;
1107224;1322;19;n;;Reisen;r aI z @ n;;;;;;;
1108547;59975;-1;<p:>;;;;;;;;;;
1168523;1322;20;b;;Bus;b U s;;;;;;;
1169846;4409;20;U;;Bus;b U s;;;;;;;
1174256;2204;20;s;;Bus;b U s;;;;;;;
1176461;38807;-1;<p:>;;;;;;;;;;
1215269;4409;21;n;;Nass;n a s;;;;;;;
1219679;5732;21;a;;Nass;n a s;;;;;;;
1225412;7937;21;s;;Nass;n a s;;;;;;;
1233350;31310;-1;<p:>;;;;;;;;;;
1264661;5732;22;S;;Schluss;S l U s;;;;;;;
1270394;3086;22;l;;Schluss;S l U s;;;;;;;
1273481;4409;22;U;;Schluss;S l U s;;;;;;;
1277891;2645;22;s;;Schluss;S l U s;;;;;;;
1280537;38807;-1;<p:>;;;;;;;;;;
1319345;3968;23;k;;Kuss;k U s;;;;;;;
1323314;3527;23;U;;Kuss;k U s;;;;;;;
1326842;2204;23;s;;Kuss;k U s;;;;;;;
1329047;45863;-1;<p:>;;;;;;;;;;
1374911;3086;24;m;;Mist;m I s t;;;;;;;
1377998;2645;24;I;;Mist;m I s t;;;;;;;
1380644;5291;24;z;;Mist;m I s t;;;;;;;
1385936;38807;-1;<p:>;;;;;;;;;;
1424744;1322;25;f;;Fass;f a s;;;;;;;
1426067;5291;25;a;;Fass;f a s;;;;;;;
1431359;1322;25;s;;Fass;f a s;;;;;;;
1432682;38366;-1;<p:>;;;;;;;;;;
1471049;1763;26;g;;Glas;g l a: s;;;;;;;
1472813;3527;26;l;;Glas;g l a: s;;;;;;;
1476341;10142;26;a:;;Glas;g l a: s;;;;;;;
1486484;6173;26;s;;Glas;g l a: s;;;;;;;
1492658;115541;-1;<p:>;;;;;;;;;;
1608200;5291;27;S;;Stuss;S t u: s;;;;;;;
1613492;4409;27;t;;Stuss;S t u: s;;;;;;;
1617902;2645;27;u:;;Stuss;S t u: s;;;;;;;
1620548;8819;27;s;;Stuss;S t u: s;;;;;;;
1629368;29105;-1;<p:>;;;;;;;;;;
1658474;3086;28;g;;Genuss;g @ n U s;;;;;;;
1661561;2645;28;@;;Genuss;g @ n U s;;;;;;;
1664207;3527;28;n;;Genuss;g @ n U s;;;;;;;
1667735;3968;28;U;;Genuss;g @ n U s;;;;;;;
1671704;8378;28;s;;Genuss;g @ n U s;;;;;;;
1680083;43217;-1;<p:>;;;;;;;;;;
1723301;3968;29;ts;;Zug;ts u: k;;;;;;;
1727270;8819;29;u:;;Zug;ts u: k;;;;;;;
1736090;6173;29;k;;Zug;ts u: k;;;;;;;
1742264;26900;-1;<p:>;;;;;;;;;;
1769165;2645;30;h;;Hexe;h E k s @;;;;;;;
1771811;4850;30;E;;Hexe;h E k s @;;;;;;;
1776662;3527;30;k;;Hexe;h E k s @;;;;;;;
1780190;3968;30;s;;Hexe;h E k s @;;;;;;;
1784159;7055;30;@;;Hexe;h E k s @;;;;;;;
1791215;29987;-1;<p:>;;;;;;;;;;
1821203;3527;31;k;;Katze;k a t s @;;;;;;;
1824731;5291;31;a;;Katze;k a t s @;;;;;;;
1830023;4409;31;t;;Katze;k a t s @;;;;;;;
1834433;3527;31;s;;Katze;k a t s @;;;;;;;
1837961;7937;31;@;;Katze;k a t s @;;;;;;;
1845899;27782;-1;<p:>;;;;;;;;;;
1873682;4850;32;S;;Scherz;S E 6 ts;;;;;;;
1878533;2204;32;E;;Scherz;S E 6 ts;;;;;;;
1880738;9701;32;6;;Scherz;S E 6 ts;;;;;;;
1890440;9701;32;ts;;Scherz;S E 6 ts;;;;;;;
1900142;29105;-1;<p:>;;;;;;;;;;
1929248;6614;33;ts;;Zahn;ts a: n;;;;;;;
1935863;10583;33;a:;;Zahn;ts a: n;;;;;;;
1946447;6173;33;n;;Zahn;ts a: n;;;;;;;
1952621;28223;-1;<p:>;;;;;;;;;;
1980845;1322;34;k;;Xylophon;k s y l o f o: n;;;;;;;
1982168;4409;34;s;;Xylophon;k s y l o f o: n;;;;;;;
1986578;2645;34;y;;Xylophon;k s y l o f o: n;;;;;;;
1989224;2645;34;l;;Xylophon;k s y l o f o: n;;;;;;;
1991870;5732;34;o;;Xylophon;k s y l o f o: n;;;;;;;
1997603;2645;34;f;;Xylophon;k s y l o f o: n;;;;;;;
2000249;10142;34;o:;;Xylophon;k s y l o f o: n;;;;;;;
2010392;3968;34;n;;Xylophon;k s y l o f o: n;;;;;;;
2014361;68795;-1;<p:>;;;;;;;;;;
2083157;2645;35;?;;Ich;? I C;;;;;;;
2085803;1322;35;I;;Ich;? I C;;;;;;;
2087126;20285;35;j;;Ich;? I C;;;;;;;
2107412;4850;36;?;;esse;? E s @;;;;;;;
2112263;4850;36;E;;esse;? E s @;;;;;;;
2117114;4409;36;s;;esse;? E s @;;;;;;;
2121524;15875;36;@;;esse;? E s @;;;;;;;
2137400;7937;-1;<p:>;;;;;;;;;;
2145338;3527;37;g;;gern;g E 6 n;;;;;;;
2148866;1322;37;E;;gern;g E 6 n;;;;;;;
2150189;7055;37;6;;gern;g E 6 n;;;;;;;
2157245;3968;37;n;;gern;g E 6 n;;;;;;;
2161214;3968;-1;<p:>;;;;;;;;;;
2165183;1322;38;f;;frisches;f r I S @ s;;;;;;;
2166506;3086;38;r;;frisches;f r I S @ s;;;;;;;
2169593;3968;38;I;;frisches;f r I S @ s;;;;;;;
2173562;5291;38;S;;frisches;f r I S @ s;;;;;;;
2178854;3968;38;@;;frisches;f r I S @ s;;;;;;;
2182823;3086;38;s;;frisches;f r I S @ s;;;;;;;
2185910;5291;39;g;;Gemüse;g @ m y: z @;;;;;;;
2191202;2204;39;@;;Gemüse;g @ m y: z @;;;;;;;
2193407;3968;39;m;;Gemüse;g @ m y: z @;;;;;;;
2197376;4850;39;y:;;Gemüse;g @ m y: z @;;;;;;;
2202227;4850;39;z;;Gemüse;g @ m y: z @;;;;;;;
2207078;7055;39;@;;Gemüse;g @ m y: z @;;;;;;;
2214134;37043;-1;<p:>;;;;;;;;;;
2251178;1763;40;d;;Die;d i:;;;;;;;
2252942;3968;40;i:;;Die;d i:;;;;;;;
2256911;3968;41;r;;Rosen;r o: z @ n;;;;;;;
2260880;11024;41;o:;;Rosen;r o: z @ n;;;;;;;
2271905;3086;41;z;;Rosen;r o: z @ n;;;;;;;
2274992;3968;41;@;;Rosen;r o: z @ n;;;;;;;
2278961;9701;41;n;;Rosen;r o: z @ n;;;;;;;
2288663;11906;-1;<p:>;;;;;;;;;;
2300570;2204;42;b;;blühen;b l y: @ n;;;;;;;
2302775;2645;42;l;;blühen;b l y: @ n;;;;;;;
2305421;4409;42;y:;;blühen;b l y: @ n;;;;;;;
2309831;4850;42;@;;blühen;b l y: @ n;;;;;;;
2314682;5291;42;n;;blühen;b l y: @ n;;;;;;;
2319974;1322;43;?;;im;? I m;;;;;;;
2321297;1763;43;I;;im;? I m;;;;;;;
2323061;4850;43;m;;im;? I m;;;;;;;
2327912;3086;44;g;;Garten;g a r t @ n;;;;;;;
2330999;6173;44;a;;Garten;g a r t @ n;;;;;;;
2337173;3086;44;r;;Garten;g a r t @ n;;;;;;;
2340260;3968;44;t;;Garten;g a r t @ n;;;;;;;
2344229;6173;44;n;;Garten;g a r t @ n;;;;;;;
2350403;41453;-1;<p:>;;;;;;;;;;
2391857;1322;45;d;;Die;d i:;;;;;;;
2393180;5291;45;i:;;Die;d i:;;;;;;;
2398472;2204;-1;<p:>;;;;;;;;;;
2400677;1322;46;z;;Sicht;z I C t;;;;;;;
2402000;4850;46;I;;Sicht;z I C t;;;;;;;
2406851;7496;46;C;;Sicht;z I C t;;;;;;;
2414348;4850;46;t;;Sicht;z I C t;;;;;;;
2419199;14552;-1;<p:>;;;;;;;;;;
2433752;1322;47;v;;war;v a: r;;;;;;;
2435075;5732;47;a:;;war;v a: r;;;;;;;
2440808;1322;47;r;;war;v a: r;;;;;;;
2442131;2204;48;k;;klar;k l a: r;;;;;;;
2444336;3968;48;l;;klar;k l a: r;;;;;;;
2448305;7937;48;a:;;klar;k l a: r;;;;;;;
2456243;1322;48;r;;klar;k l a: r;;;;;;;
2457566;2645;49;a;;am;? a m;;;;;;;
2460212;3527;49;m;;am;? a m;;;;;;;
2463740;1763;50;b;;Berg;b E 6 k;;;;;;;
2465504;1763;50;E;;Berg;b E 6 k;;;;;;;
2467268;10142;50;6;;Berg;b E 6 k;;;;;;;
2477411;7055;50;k;;Berg;b E 6 k;;;;;;;
2484467;37043;-1;<p:>;;;;;;;;;;
2521511;1322;51;d;;Der;d e: 6;;;;;;;
2522834;2204;51;e:;;Der;d e: 6;;;;;;;
2525039;4409;51;6;;Der;d e: 6;;;;;;;
2529449;1322;52;b;;Bus;b U s;;;;;;;
2530772;4850;52;U;;Bus;b U s;;;;;;;
2535623;1322;52;s;;Bus;b U s;;;;;;;
2536946;26900;-1;<p:>;;;;;;;;;;
2563847;1322;53;f;;fährt;f E: 6 t;;;;;;;
2565170;3086;53;E:;;fährt;f E: 6 t;;;;;;;
2568257;5291;53;6;;fährt;f E: 6 t;;;;;;;
2573549;1763;53;t;;fährt;f E: 6 t;;;;;;;
2575313;1763;54;n;;nach;n a: x;;;;;;;
2577077;1763;54;a:;;nach;n a: x;;;;;;;
2578841;3086;54;x;;nach;n a: x;;;;;;;
2581928;3086;55;h;;Hause;h aU z @;;;;;;;
2585015;8819;55;aU;;Hause;h aU z @;;;;;;;
2593835;3968;55;z;;Hause;h aU z @;;;;;;;
2597804;4850;55;@;;Hause;h aU z @;;;;;;;
2602655;43658;-1;<p:>;;;;;;;;;;
2646314;1763;56;?;;Es;? E s;;;;;;;
2648078;4850;56;E;;Es;? E s;;;;;;;
2652929;1763;56;s;;Es;? E s;;;;;;;
2654693;6614;57;?;;ist;? I s t;;;;;;;
2661308;3086;57;I;;ist;? I s t;;;;;;;
2664395;1322;57;s;;ist;? I s t;;;;;;;
2665718;6614;-1;<p:>;;;;;;;;;;
2672333;3086;58;n;;nass;n a s;;;;;;;
2675420;4850;58;a;;nass;n a s;;;;;;;
2680271;9260;58;s;;nass;n a s;;;;;;;
2689532;6614;-1;<p:>;;;;;;;;;;
2696147;2204;59;?;;auf;? aU f;;;;;;;
2698352;4850;59;aU;;auf;? aU f;;;;;;;
2703203;3086;59;f;;auf;? aU f;;;;;;;
2706290;2204;60;d;;der;d e: 6;;;;;;;
2708495;1763;60;e:;;der;d e: 6;;;;;;;
2710259;2645;60;6;;der;d e: 6;;;;;;;
2712905;4409;61;S;;Straße;S t r a: s @;;;;;;;
2717315;1322;61;t;;Straße;S t r a: s @;;;;;;;
2718638;5291;61;r;;Straße;S t r a: s @;;;;;;;
2723930;8819;61;a:;;Straße;S t r a: s @;;;;;;;
2732750;2645;61;s;;Straße;S t r a: s @;;;;;;;
2735396;6173;61;@;;Straße;S t r a: s @;;;;;;;
2741570;39248;-1;<p:>;;;;;;;;;;
2780819;1763;62;?;;Ich;? I C;;;;;;;
2782583;3527;62;I;;Ich;? I C;;;;;;;
2786111;6393;62;C;;Ich;? I C;;;;;;;
2792505;3747;63;m;;mag;m a: k;;;;;;;
2796253;6615;63;a:;;mag;m a: k;;;;;;;
2802869;1763;63;k;;mag;m a: k;;;;;;;
2804633;2204;-1;<p:>;;;;;;;;;;
2806838;1322;64;z;;Salz;z a l ts;;;;;;;
2808161;3968;64;a;;Salz;z a l ts;;;;;;;
2812130;8819;64;l;;Salz;z a l ts;;;;;;;
2820950;9260;64;ts;;Salz;z a l ts;;;;;;;
2830211;9260;-1;<p:>;;;;;;;;;;
2839472;3968;65;aU;;auf;? aU f;;;;;;;
2843441;3086;65;f;;auf;? aU f;;;;;;;
2846528;3968;66;m;;meinem;m aI n @ m;;;;;;;
2850497;4850;66;aI;;meinem;m aI n @ m;;;;;;;
2855348;2204;66;n;;meinem;m aI n @ m;;;;;;;
2857553;2645;66;@;;meinem;m aI n @ m;;;;;;;
2860199;2204;66;m;;meinem;m aI n @ m;;;;;;;
2862404;2645;67;?;;Essen;? E s @ n;;;;;;;
2865050;4850;67;E;;Essen;? E s @ n;;;;;;;
2869901;3527;67;s;;Essen;? E s @ n;;;;;;;
2873429;1322;67;@;;Essen;? E s @ n;;;;;;;
2874752;5291;67;n;;Essen;? E s @ n;;;;;;;
2880044;41453;-1;<p:>;;;;;;;;;;
2921498;2204;68;?;;Ein;? aI n;;;;;;;
2923703;3968;68;aI;;Ein;? aI n;;;;;;;
2927672;2204;68;n;;Ein;? aI n;;;;;;;
2929877;3086;-1;<p:>;;;;;;;;;;
2932964;3527;69;k;;Kuss;k U s;;;;;;;
2936492;5291;69;U;;Kuss;k U s;;;;;;;
2941784;7055;69;z;;Kuss;k U s;;;;;;;
2948840;16757;-1;<p:>;;;;;;;;;;
2965598;2645;70;I;;ist;? I s t;;;;;;;
2968244;1322;70;s;;ist;? I s t;;;;;;;
2969567;8378;70;t;;ist;? I s t;;;;;;;
2977946;8819;71;z;;süß;z y: s;;;;;;;
2986766;7937;71;y:;;süß;z y: s;;;;;;;
2994704;5291;71;s;;süß;z y: s;;;;;;;
2999996;10142;-1;<p:>;;;;;;;;;;
3010139;2204;72;U;;und;? U n t;;;;;;;
3012344;1763;72;n;;und;? U n t;;;;;;;
3014108;3968;-1;<p:>;;;;;;;;;;
3018077;5732;73;ts;;zärtlich;ts E: 6 t l I C;;;;;;;
3023810;5291;73;E:;;zärtlich;ts E: 6 t l I C;;;;;;;
3029102;1763;73;6;;zärtlich;ts E: 6 t l I C;;;;;;;
3030866;2645;73;t;;zärtlich;ts E: 6 t l I C;;;;;;;
3033512;2645;73;l;;zärtlich;ts E: 6 t l I C;;;;;;;
3036158;3968;73;I;;zärtlich;ts E: 6 t l I C;;;;;;;
3040127;6614;73;C;;zärtlich;ts E: 6 t l I C;;;;;;;
3046742;41894;-1;<p:>;;;;;;;;;;
3088637;1322;74;d;;Die;d i:;;;;;;;
3089960;2645;74;i:;;Die;d i:;;;;;;;
3092606;4850;75;h;;Hexe;h E k s @;;;;;;;
3097457;1763;75;E;;Hexe;h E k s @;;;;;;;
3099221;4850;75;k;;Hexe;h E k s @;;;;;;;
3104072;4409;75;s;;Hexe;h E k s @;;;;;;;
3108482;11465;75;@;;Hexe;h E k s @;;;;;;;
3119948;19403;-1;<p:>;;;;;;;;;;
3139352;2204;76;d;;dachte;d a x t @;;;;;;;
3141557;3086;76;a;;dachte;d a x t @;;;;;;;
3144644;5291;76;x;;dachte;d a x t @;;;;;;;
3149936;4409;76;t;;dachte;d a x t @;;;;;;;
3154346;4850;76;@;;dachte;d a x t @;;;;;;;
3159197;2645;77;?;;an;? a n;;;;;;;
3161843;3086;77;a;;an;? a n;;;;;;;
3164930;6173;77;n;;an;? a n;;;;;;;
3171104;6173;78;i:;;ihren;? i: r @ n;;;;;;;
3177278;3527;78;r;;ihren;? i: r @ n;;;;;;;
3180806;2204;78;@;;ihren;? i: r @ n;;;;;;;
3183011;3527;78;n;;ihren;? i: r @ n;;;;;;;
3186539;4850;-1;<p:>;;;;;;;;;;
3191390;2645;79;ts;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3194036;7055;79;aU;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3201092;1322;79;b;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3202415;6614;79;6;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3209030;1322;79;t;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3210353;4850;79;r;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3215204;3527;79;a;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3218732;5291;79;N;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3224024;7496;79;k;;Zaubertrank;ts aU b 6 t r a N k;;;;;;;
3231521;41894;-1;<p:>;;;;;;;;;;
3273416;1322;80;d;;Der;d e: 6;;;;;;;
3274739;2204;80;e:;;Der;d e: 6;;;;;;;
3276944;4850;80;6;;Der;d e: 6;;;;;;;
3281795;6173;81;ts;;Zug;ts u: k;;;;;;;
3287969;7496;81;u:;;Zug;ts u: k;;;;;;;
3295466;5732;81;k;;Zug;ts u: k;;;;;;;
3301199;16757;-1;<p:>;;;;;;;;;;
3317957;1322;82;f;;fährt;f E: 6 t;;;;;;;
3319280;8819;82;E:;;fährt;f E: 6 t;;;;;;;
3328100;1763;82;6;;fährt;f E: 6 t;;;;;;;
3329864;4409;83;p;;pünktlich;p Y N k t l I C;;;;;;;
3334274;3968;83;Y;;pünktlich;p Y N k t l I C;;;;;;;
3338243;7937;83;N;;pünktlich;p Y N k t l I C;;;;;;;
3346181;1322;83;k;;pünktlich;p Y N k t l I C;;;;;;;
