BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;7810;-1;<p:>;;;;;;;;;;
7811;1322;0;z;;Sonne;z O n @;;;;;;;
9134;6614;0;O;;Sonne;z O n @;;;;;;;
15749;2645;0;n;;Sonne;z O n @;;;;;;;
18395;12347;0;@;;Sonne;z O n @;;;;;;;
30743;21608;-1;<p:>;;;;;;;;;;
52352;1322;1;z;;Säure;z OY r @;;;;;;;
53675;11024;1;OY;;Säure;z OY r @;;;;;;;
64700;5732;1;r;;Säure;z OY r @;;;;;;;
70433;10142;1;@;;Säure;z OY r @;;;;;;;
80576;19844;-1;<p:>;;;;;;;;;;
100421;4850;2;z;;Seele;z e: l @;;;;;;;
105272;10583;2;e:;;Seele;z e: l @;;;;;;;
115856;3527;2;l;;Seele;z e: l @;;;;;;;
119384;11024;2;@;;Seele;z e: l @;;;;;;;
130409;29987;-1;<p:>;;;;;;;;;;
160397;1322;3;z;;Säule;z OY l @;;;;;;;
161720;7937;3;OY;;Säule;z OY l @;;;;;;;
169658;7496;3;l;;Säule;z OY l @;;;;;;;
177155;10583;3;@;;Säule;z OY l @;;;;;;;
187739;27341;-1;<p:>;;;;;;;;;;
215081;1322;4;z;;Salz;z a l ts;;;;;;;
216404;4850;4;a;;Salz;z a l ts;;;;;;;
221255;7937;4;l;;Salz;z a l ts;;;;;;;
229193;8819;4;ts;;Salz;z a l ts;;;;;;;
238013;30869;-1;<p:>;;;;;;;;;;
268883;1322;5;z;;Samen;z a: m @ n;;;;;;;
270206;11024;5;a:;;Samen;z a: m @ n;;;;;;;
281231;3527;5;m;;Samen;z a: m @ n;;;;;;;
284759;4850;5;@;;Samen;z a: m @ n;;;;;;;
289610;12788;5;n;;Samen;z a: m @ n;;;;;;;
302399;26900;-1;<p:>;;;;;;;;;;
329300;1322;6;z;;Singen;z I N @ n;;;;;;;
330623;3086;6;I;;Singen;z I N @ n;;;;;;;
333710;4409;6;N;;Singen;z I N @ n;;;;;;;
338120;6614;6;@;;Singen;z I N @ n;;;;;;;
344735;11465;6;n;;Singen;z I N @ n;;;;;;;
356201;28664;-1;<p:>;;;;;;;;;;
384866;1322;7;z;;Sicht;z I C t;;;;;;;
386189;4409;7;I;;Sicht;z I C t;;;;;;;
390599;8819;7;C;;Sicht;z I C t;;;;;;;
399419;7496;7;t;;Sicht;z I C t;;;;;;;
406916;37925;-1;<p:>;;;;;;;;;;
444842;1322;8;z;;Sicher;z I C 6;;;;;;;
446165;3527;8;I;;Sicher;z I C 6;;;;;;;
449693;8378;8;C;;Sicher;z I C 6;;;;;;;
458072;10142;8;6;;Sicher;z I C 6;;;;;;;
468215;28223;-1;<p:>;;;;;;;;;;
496439;1322;9;z;;Sammlung;z a m l U N;;;;;;;
497762;5291;9;a;;Sammlung;z a m l U N;;;;;;;
503054;6173;9;m;;Sammlung;z a m l U N;;;;;;;
509228;2204;9;l;;Sammlung;z a m l U N;;;;;;;
511433;5291;9;U;;Sammlung;z a m l U N;;;;;;;
516725;10583;9;N;;Sammlung;z a m l U N;;;;;;;
527309;12347;-1;<p:>;;;;;;;;;;
539657;1322;10;z;;Sekunde;z e k U n d @;;;;;;;
540980;2645;10;e;;Sekunde;z e k U n d @;;;;;;;
543626;7055;10;k;;Sekunde;z e k U n d @;;;;;;;
550682;3968;10;U;;Sekunde;z e k U n d @;;;;;;;
554651;5732;10;n;;Sekunde;z e k U n d @;;;;;;;
560384;1763;10;d;;Sekunde;z e k U n d @;;;;;;;
562148;5732;10;@;;Sekunde;z e k U n d @;;;;;;;
567881;54242;-1;<p:>;;;;;;;;;;
622124;6173;11;?;;Essen;? E s @ n;;;;;;;
628298;5732;11;E;;Essen;? E s @ n;;;;;;;
634031;5291;11;s;;Essen;? E s @ n;;;;;;;
639323;3968;11;@;;Essen;? E s @ n;;;;;;;
643292;14111;11;n;;Essen;? E s @ n;;;;;;;
657404;14552;-1;<p:>;;;;;;;;;;
671957;2204;12;l;;Lesen;l e: z @ n;;;;;;;
674162;10583;12;e:;;Lesen;l e: z @ n;;;;;;;
684746;3527;12;z;;Lesen;l e: z @ n;;;;;;;
688274;1322;12;@;;Lesen;l e: z @ n;;;;;;;
689597;14111;12;n;;Lesen;l e: z @ n;;;;;;;
703709;28664;-1;<p:>;;;;;;;;;;
732374;2204;13;r;;Rasen;r a: z @ n;;;;;;;
734579;12788;13;a:;;Rasen;r a: z @ n;;;;;;;
747368;1763;13;z;;Rasen;r a: z @ n;;;;;;;
749132;1763;13;@;;Rasen;r a: z @ n;;;;;;;
750896;14993;13;n;;Rasen;r a: z @ n;;;;;;;
765890;30428;-1;<p:>;;;;;;;;;;
796319;3968;14;r;;Rosen;r o: z @ n;;;;;;;
800288;14111;14;o:;;Rosen;r o: z @ n;;;;;;;
814400;3086;14;z;;Rosen;r o: z @ n;;;;;;;
817487;3968;14;@;;Rosen;r o: z @ n;;;;;;;
821456;8378;14;n;;Rosen;r o: z @ n;;;;;;;
829835;28223;-1;<p:>;;;;;;;;;;
858059;2645;15;v;;Wissen;v I s @ n;;;;;;;
860705;5732;15;I;;Wissen;v I s @ n;;;;;;;
866438;4850;15;s;;Wissen;v I s @ n;;;;;;;
871289;2645;15;@;;Wissen;v I s @ n;;;;;;;
873935;9260;15;n;;Wissen;v I s @ n;;;;;;;
883196;32192;-1;<p:>;;;;;;;;;;
915389;2645;16;f;;Fressen;f r E s @ n;;;;;;;
918035;3527;16;r;;Fressen;f r E s @ n;;;;;;;
921563;5291;16;E;;Fressen;f r E s @ n;;;;;;;
926855;3968;16;s;;Fressen;f r E s @ n;;;;;;;
930824;15875;16;n;;Fressen;f r E s @ n;;;;;;;
946700;65267;-1;<p:>;;;;;;;;;;
1011968;7496;17;S;;Schießen;S i: s @ n;;;;;;;
1019465;8378;17;i:;;Schießen;S i: s @ n;;;;;;;
1027844;1763;17;s;;Schießen;S i: s @ n;;;;;;;
1029608;1763;17;@;;Schießen;S i: s @ n;;;;;;;
1031372;18521;17;n;;Schießen;S i: s @ n;;;;;;;
1049894;19844;-1;<p:>;;;;;;;;;;
1069739;5291;18;f;;Fließen;f l i: s @ n;;;;;;;
1075031;3527;18;l;;Fließen;f l i: s @ n;;;;;;;
1078559;8378;18;i:;;Fließen;f l i: s @ n;;;;;;;
1086938;1763;18;s;;Fließen;f l i: s @ n;;;;;;;
1088702;4409;18;@;;Fließen;f l i: s @ n;;;;;;;
1093112;11906;18;n;;Fließen;f l i: s @ n;;;;;;;
1105019;20285;-1;<p:>;;;;;;;;;;
1125305;2645;19;r;;Reisen;r aI z @ n;;;;;;;
1127951;11024;19;aI;;Reisen;r aI z @ n;;;;;;;
1138976;3527;19;z;;Reisen;r aI z @ n;;;;;;;
1142504;9260;19;n;;Reisen;r aI z @ n;;;;;;;
1151765;54242;-1;<p:>;;;;;;;;;;
1206008;1322;20;b;;Bus;b U s;;;;;;;
1207331;7055;20;U;;Bus;b U s;;;;;;;
1214387;9701;20;s;;Bus;b U s;;;;;;;
1224089;26018;-1;<p:>;;;;;;;;;;
1250108;3527;21;n;;Nass;n a s;;;;;;;
1253636;6614;21;a;;Nass;n a s;;;;;;;
1260251;1763;21;s;;Nass;n a s;;;;;;;
1262015;50273;-1;<p:>;;;;;;;;;;
1312289;5291;22;S;;Schluss;S l U s;;;;;;;
1317581;5291;22;l;;Schluss;S l U s;;;;;;;
1322873;5732;22;U;;Schluss;S l U s;;;;;;;
1328606;1322;22;s;;Schluss;S l U s;;;;;;;
1329929;30428;-1;<p:>;;;;;;;;;;
1360358;5291;23;k;;Kuss;k U s;;;;;;;
1365650;6614;23;U;;Kuss;k U s;;;;;;;
1372265;7496;23;s;;Kuss;k U s;;;;;;;
1379762;42335;-1;<p:>;;;;;;;;;;
1422098;2204;24;m;;Mist;m I s t;;;;;;;
1424303;5291;24;I;;Mist;m I s t;;;;;;;
