BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
0;3400;-1;<p:>;;;;;;;;;;
3401;8819;0;z;;Sonne;z O n @;;;;;;;
12221;6173;0;O;;Sonne;z O n @;;;;;;;
18395;3968;0;n;;Sonne;z O n @;;;;;;;
22364;16316;0;@;;Sonne;z O n @;;;;;;;
38681;24254;-1;<p:>;;;;;;;;;;
62936;6614;1;z;;Säure;z OY r @;;;;;;;
69551;7055;1;OY;;Säure;z OY r @;;;;;;;
76607;1322;1;r;;Säure;z OY r @;;;;;;;
77930;16757;1;@;;Säure;z OY r @;;;;;;;
94688;17639;-1;<p:>;;;;;;;;;;
112328;6173;2;z;;Seele;z e: l @;;;;;;;
118502;10142;2;e:;;Seele;z e: l @;;;;;;;
128645;3968;2;l;;Seele;z e: l @;;;;;;;
132614;12347;2;@;;Seele;z e: l @;;;;;;;
144962;25577;-1;<p:>;;;;;;;;;;
170540;8378;3;z;;Säule;z OY l @;;;;;;;
178919;7937;3;OY;;Säule;z OY l @;;;;;;;
186857;7937;3;l;;Säule;z OY l @;;;;;;;
194795;8378;3;@;;Säule;z OY l @;;;;;;;
203174;27782;-1;<p:>;;;;;;;;;;
230957;6173;4;z;;Salz;z a l ts;;;;;;;
237131;6173;4;a;;Salz;z a l ts;;;;;;;
243305;9260;4;l;;Salz;z a l ts;;;;;;;
252566;10142;4;ts;;Salz;z a l ts;;;;;;;
262709;25577;-1;<p:>;;;;;;;;;;
288287;6173;5;z;;Samen;z a: m @ n;;;;;;;
294461;10583;5;a:;;Samen;z a: m @ n;;;;;;;
305045;2204;5;m;;Samen;z a: m @ n;;;;;;;
307250;4850;5;@;;Samen;z a: m @ n;;;;;;;
312101;6614;5;n;;Samen;z a: m @ n;;;;;;;
318716;26459;-1;<p:>;;;;;;;;;;
345176;7055;6;z;;Singen;z I N @ n;;;;;;;
352232;4409;6;I;;Singen;z I N @ n;;;;;;;
356642;3968;6;N;;Singen;z I N @ n;;;;;;;
360611;5291;6;@;;Singen;z I N @ n;;;;;;;
365903;14111;6;n;;Singen;z I N @ n;;;;;;;
380015;18521;-1;<p:>;;;;;;;;;;
398537;8378;7;s;;Sicht;z I C t;;;;;;;
406916;9260;7;I;;Sicht;z I C t;;;;;;;
416177;5732;7;C;;Sicht;z I C t;;;;;;;
421910;5732;7;t;;Sicht;z I C t;;;;;;;
427643;29546;-1;<p:>;;;;;;;;;;
457190;7937;8;s;;Sicher;z I C 6;;;;;;;
465128;3968;8;I;;Sicher;z I C 6;;;;;;;
469097;5732;8;C;;Sicher;z I C 6;;;;;;;
474830;11024;8;6;;Sicher;z I C 6;;;;;;;
485855;33074;-1;<p:>;;;;;;;;;;
518930;6614;9;z;;Sammlung;z a m l U N;;;;;;;
525545;5291;9;a;;Sammlung;z a m l U N;;;;;;;
530837;1763;9;m;;Sammlung;z a m l U N;;;;;;;
532601;4409;9;l;;Sammlung;z a m l U N;;;;;;;
537011;4850;9;U;;Sammlung;z a m l U N;;;;;;;
541862;8378;9;N;;Sammlung;z a m l U N;;;;;;;
550241;12788;-1;<p:>;;;;;;;;;;
563030;7496;10;z;;Sekunde;z e k U n d @;;;;;;;
570527;4850;10;e;;Sekunde;z e k U n d @;;;;;;;
575378;4850;10;k;;Sekunde;z e k U n d @;;;;;;;
580229;3086;10;U;;Sekunde;z e k U n d @;;;;;;;
583316;4850;10;n;;Sekunde;z e k U n d @;;;;;;;
588167;1322;10;d;;Sekunde;z e k U n d @;;;;;;;
589490;4850;10;@;;Sekunde;z e k U n d @;;;;;;;
594341;52478;-1;<p:>;;;;;;;;;;
646820;3086;11;?;;Essen;? E s @ n;;;;;;;
649907;5732;11;E;;Essen;? E s @ n;;;;;;;
655640;8378;11;s;;Essen;? E s @ n;;;;;;;
664019;10583;11;@;;Essen;? E s @ n;;;;;;;
674603;1322;11;n;;Essen;? E s @ n;;;;;;;
675926;15875;-1;<p:>;;;;;;;;;;
691802;3968;12;l;;Lesen;l e: z @ n;;;;;;;
695771;10583;12;e:;;Lesen;l e: z @ n;;;;;;;
706355;7055;12;z;;Lesen;l e: z @ n;;;;;;;
713411;12788;12;n;;Lesen;l e: z @ n;;;;;;;
726200;14111;-1;<p:>;;;;;;;;;;
740312;3086;13;r;;Rasen;r a: z @ n;;;;;;;
743399;12347;13;a:;;Rasen;r a: z @ n;;;;;;;
755747;6614;13;z;;Rasen;r a: z @ n;;;;;;;
762362;1763;13;@;;Rasen;r a: z @ n;;;;;;;
764126;12347;13;n;;Rasen;r a: z @ n;;;;;;;
776474;11465;-1;<p:>;;;;;;;;;;
787940;3086;14;r;;Rosen;r o: z @ n;;;;;;;
791027;13229;14;o:;;Rosen;r o: z @ n;;;;;;;
804257;5291;14;z;;Rosen;r o: z @ n;;;;;;;
809549;17198;14;n;;Rosen;r o: z @ n;;;;;;;
826748;8378;-1;<p:>;;;;;;;;;;
835127;3968;15;v;;Wissen;v I s @ n;;;;;;;
839096;3527;15;I;;Wissen;v I s @ n;;;;;;;
842624;7496;15;s;;Wissen;v I s @ n;;;;;;;
850121;2204;15;@;;Wissen;v I s @ n;;;;;;;
852326;7937;15;n;;Wissen;v I s @ n;;;;;;;
860264;21167;-1;<p:>;;;;;;;;;;
881432;3086;16;f;;Fressen;f r E s @ n;;;;;;;
884519;2204;16;r;;Fressen;f r E s @ n;;;;;;;
886724;6173;16;E;;Fressen;f r E s @ n;;;;;;;
892898;6173;16;s;;Fressen;f r E s @ n;;;;;;;
899072;10583;16;n;;Fressen;f r E s @ n;;;;;;;
909656;18962;-1;<p:>;;;;;;;;;;
928619;7055;17;S;;Schießen;S i: s @ n;;;;;;;
935675;6614;17;i:;;Schießen;S i: s @ n;;;;;;;
942290;8378;17;s;;Schießen;S i: s @ n;;;;;;;
950669;13670;17;n;;Schießen;S i: s @ n;;;;;;;
964340;14111;-1;<p:>;;;;;;;;;;
978452;5291;18;f;;Fließen;f l i: s @ n;;;;;;;
983744;3527;18;l;;Fließen;f l i: s @ n;;;;;;;
987272;7937;18;i:;;Fließen;f l i: s @ n;;;;;;;
995210;6614;18;s;;Fließen;f l i: s @ n;;;;;;;
1001825;11024;18;n;;Fließen;f l i: s @ n;;;;;;;
1012850;14111;-1;<p:>;;;;;;;;;;
1026962;1322;19;r;;Reisen;r aI z @ n;;;;;;;
1028285;9701;19;aI;;Reisen;r aI z @ n;;;;;;;
1037987;7055;19;z;;Reisen;r aI z @ n;;;;;;;
1045043;4850;19;n;;Reisen;r aI z @ n;;;;;;;
1049894;41012;-1;<p:>;;;;;;;;;;
1090907;1322;20;b;;Bus;b U s;;;;;;;
1092230;6614;20;U;;Bus;b U s;;;;;;;
1098845;14993;20;s;;Bus;b U s;;;;;;;
1113839;24254;-1;<p:>;;;;;;;;;;
1138094;4850;21;n;;Nass;n a s;;;;;;;
1142945;7496;21;a;;Nass;n a s;;;;;;;
1150442;11465;21;s;;Nass;n a s;;;;;;;
1161908;22931;-1;<p:>;;;;;;;;;;
1184840;6173;22;S;;Schluss;S l U s;;;;;;;
1191014;3968;22;l;;Schluss;S l U s;;;;;;;
1194983;6173;22;U;;Schluss;S l U s;;;;;;;
1201157;12788;22;s;;Schluss;S l U s;;;;;;;
1213946;31751;-1;<p:>;;;;;;;;;;
1245698;3968;23;k;;Kuss;k U s;;;;;;;
1249667;5732;23;U;;Kuss;k U s;;;;;;;
